date,start_time,start_bat,end_time,end_bat,miles,average_m/kwh
3/31/2025,8:34,95,9:26,82,21.4,5.5
3/31/2025,16:46,82,17:23,70,14.2,4.7
3/31/2025,20:16,70,20:53,46,30.3,4.5
4/1/2025,8:25,95,9:24,81,23.5,5.3
4/1/2025,16:42,81,16:03,60,30,5
4/2/2025,8:28,88,9:19,75,21.4,5.3
4/2/2025,16:46,75,18:38,49,29.2,4.1
4/3/2025,8:26,88,9:14,74,21.4,5
4/3/2025,16:26,74,17:23,52,28.2,4.7
4/4/2025,8:26,91,9:17,77,21.4,4.8
4/4/2025,16:32,77,5:28,53,28.3,4.6
4/6/2025,14:34,93,15:28,73,27.7,4.6
4/6/2025,16:52,73,17:25,49,28.6,4.6
4/7/2025,15:05,89,15:17,88,1.5,3.5
4/8/2025,8:19,88,9:26,74,21.4,5.4
4/8/2025,16:48,74,17:51,51,29.3,4.9
4/9/2025,8:22,91,9:13,78,21.4,5.5
4/9/2025,16:40,78,5:38,54,28.3,4.7
4/10/2025,8:29,94,9:23,82,21.4,5.5
4/10/2025,16:32,82,17:21,61,26.9,5
4/10/2025,18:02,61,18:14,59,2.9,4.5
4/11/2025,8:21,97,9:08,84,21.4,5
4/11/2025,4:28,84,17:30,69,37,4.7
4/11/2025,20:29,69,21:11,46,30.4,4.6
4/12/2025,11:39,46,11:53,43,4.7,4.7
4/12/2025,14:13,43,14:23,42,1.8,4.1
4/12/2025,15:01,42,15:11,38,2.9,4.4
4/13/2025,10:33,97,11:59,76,37.2,4.9
4/14/2025,8:19,74,9:07,58,21.4,5.4
4/14/2025,16:45,58,17:41,40,28.3,5.1
4/15/2025,8:23,94,9:16,84,21.9,5.3
4/15/2025,16:47,84,18:57,50,49.5,5
4/16/2025,8:26,88,9:17,76,21.4,5.5
4/16/2025,16:41,76,17:42,57,23.8,5.1
4/17/2025,8:27,86,9:20,73,21.4,5.7
4/17/2025,16:51,73,17:56,51,28.5,5
4/18/2025,8:22,76,9:17,66,20.8,5.4
4/18/2025,16:34,66,17:22,46,28.3,4.8
4/19/2025,16:10,84,16:32,74,11.5,4
4/19/2025,19:31,74,19:55,64,12.2,4.7
4/20/2025,15:26,61,16:56,19,56.4,4.4
4/21/2025,8:29,92,9:22,84,21.4,5
4/21/2025,16:22,84,17:11,64,28.3,4.8
4/22/2025,8:32,87,9:23,74,21.4,5.5
4/22/2025,16:35,74,17:34,53,28.2,5.1
4/23/2025,8:34,93,9:31,80,21.4,5.2
4/23/2025,16:39,79,17:38,57,28.5,4.8
4/24/2025,8:24,83,9:22,70,21.4,5.3
